Category,"Hist. Ref. Per., 1950-2014",SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-7.0,SSP5-8.5,"Hist. Ref. Per., 1950-2014.1",SSP1-1.9.1,SSP1-2.6.1,SSP2-4.5.1,SSP3-7.0.1,SSP5-8.5.1,Unnamed: 13,SSP1-1.9_HeatIndex,SSP1-2.6_HeatIndex,SSP2-4.5_HeatIndex,SSP3-7.0_HeatIndex,SSP5-8.5_HeatIndex
1990,60.55,,,,,,24.26,,,,,,,,,,,
1991,60.4,,,,,,24.29,,,,,,,,,,,
1992,60.59,,,,,,23.88,,,,,,,,,,,
1993,60.63,,,,,,24.01,,,,,,,,,,,
1994,60.57,,,,,,24.12,,,,,,,,,,,
1995,60.66,,,,,,24.25,,,,,,,,,,,
1996,60.65,,,,,,24.16,,,,,,,,,,,
1997,60.91,,,,,,24.32,,,,,,,,,,,
1998,61.31,,,,,,24.28,,,,,,,,,,,
1999,61.05,,,,,,24.37,,,,,,,,,,,
2000,60.62,,,,,,24.38,,,,,,,,,,,
2001,60.98,,,,,,24.5,,,,,,,,,,,
2002,61.2,,,,,,24.51,,,,,,,,,,,
2003,61.76,,,,,,24.4,,,,,,,,,,,
2004,61.4,,,,,,24.52,,,,,,,,,,,
2005,60.78,,,,,,24.53,,,,,,,,,,,
2006,61.42,,,,,,24.42,,,,,,,,,,,
2007,61.67,,,,,,24.43,,,,,,,,,,,
2008,61.88,,,,,,24.4,,,,,,,,,,,
2009,61.12,,,,,,24.5,,,,,,,,,,,
2010,60.85,,,,,,24.58,,,,,,,,,,,
2011,61.31,,,,,,24.63,,,,,,,,,,,
2012,61.4,,,,,,24.67,,,,,,,,,,,
2013,61.74,,,,,,24.62,,,,,,,,,,,
2087,,61.4,60.68,62.38,62.4,62.08,,77.234,78.242,79.52,81.086,83.174,,78.99804340327958,79.93650698971639,81.47145699760719,83.53493437388937,86.67996318873753
2088,,61.39,61.03,61.83,62.16,62.18,,77.252,78.188,79.592,81.446,83.40799999999999,,79.01417536837758,79.8983614873259,81.5073027820448,84.01155613581341,87.0967020613557
2089,,61.51,61.31,62.36,62.8,62.04,,77.19800000000001,77.972,79.52,81.5,83.138,,78.96694659511536,79.69423917152731,81.46960787445661,84.1993985103,86.61073881647545
2090,,61.52,61.23,62.21,63.4,62.14,,77.19800000000001,77.99000000000001,79.646,81.248,83.66,,78.96706613228258,79.70902496502961,81.60946249326527,83.92729976325109,87.51650021839146
2091,,61.41,60.96,61.59,63.03,62.28,,77.234,78.098,79.80799999999999,81.068,83.768,,78.9981763077858,79.80528878188156,81.74623197628729,83.60640969966892,87.7407855032597
2092,,61.47,61.22,61.72,62.69,62.8,,77.234,78.044,79.826,81.338,83.75,,78.99897028661975,79.76223776012009,81.78171010897489,83.94283257351157,87.84975998332496
2093,,61.58,61.87,62.01,63.34,61.79,,77.21600000000001,77.846,79.682,81.59,83.98400000000001,,78.98407533791342,79.58899116449643,81.63408008532998,84.42859954711358,87.98365023078688
2094,,61.59,61.7,61.7,63.77,62.55,,77.30600000000001,78.224,79.80799999999999,81.554,84.18199999999999,,79.06630176530638,79.9655019085161,81.7575102920382,84.44999028371043,88.5503567673584
2095,,61.56,61.98,61.39,63.12,62.3,,77.27,77.828,80.186,81.608,83.98400000000001,,79.03291653423886,79.57466661156303,82.19452770045427,84.41679221535489,88.12537200329177
2096,,61.53,61.58,62.31,63.02,61.5,,77.252,77.702,79.664,81.554,84.488,,79.01610429872119,79.43906478378881,81.64135961137707,84.3179966382685,88.79232258576727
2097,,61.46,61.25,61.73,62.72,62.44,,77.36,77.972,79.77199999999999,82.22,84.63199999999999,,79.11380876937827,79.69198500899846,81.7163990575644,85.28248973605515,89.34109504899301
2098,,61.41,60.9,61.95,62.32,62.51,,77.432,78.25999999999999,80.042,82.202,84.542,,79.17939668405144,79.96501212766532,82.07625272508287,85.17395593112059,89.19601659873041
2099,,61.42,61.51,61.11,62.74,61.73,,77.45,78.116,80.024,82.436,84.452,,79.19631128386408,79.84652719564973,81.96066109646182,85.62839173327643,88.79613572298362
2100,,61.4,60.99,62.01,62.38,61.65,,77.486,78.188,79.952,82.45400000000001,84.65,,79.22943782374207,79.89656222310057,81.96924071807372,85.58087204542502,89.13045534435024
