Category,"Hist. Ref. Per., 1950-2014",Historical 10-90th Percentile Range (low),Historical 10-90th Percentile Range (high),SSP1-1.9,SSP1-1.9 10-90th Percentile Range (low),SSP1-1.9 10-90th Percentile Range (high),SSP1-2.6,SSP1-2.6 10-90th Percentile Range (low),SSP1-2.6 10-90th Percentile Range (high),SSP2-4.5,SSP2-4.5 10-90th Percentile Range (low),SSP2-4.5 10-90th Percentile Range (high),SSP3-7.0,SSP3-7.0 10-90th Percentile Range (low),SSP3-7.0 10-90th Percentile Range (high),SSP5-8.5,SSP5-8.5 10-90th Percentile Range (low),SSP5-8.5 10-90th Percentile Range (high)
1991,77.80387442417491,77.29110829802417,78.48520694769319,,,,,,,,,,,,,,,
1992,77.31821535513296,77.00243672765654,77.7577421905191,,,,,,,,,,,,,,,
1993,77.46152363882632,77.10893722682727,77.95550720128436,,,,,,,,,,,,,,,
1994,77.59198156120195,77.16070088634058,78.04729357935449,,,,,,,,,,,,,,,
1995,77.74621344257514,77.16447423597126,78.28715354343964,,,,,,,,,,,,,,,
1996,77.63668466767646,77.32089012021498,78.13597250763992,,,,,,,,,,,,,,,
1997,77.82655412974728,77.36845786510679,78.36229607123543,,,,,,,,,,,,,,,
1998,77.76273993979643,77.42766415102773,78.40180240482302,,,,,,,,,,,,,,,
1999,77.88716128680902,77.23341617097753,78.56028998512667,,,,,,,,,,,,,,,
2000,77.91158088147407,77.410518168267,78.39947146058742,,,,,,,,,,,,,,,
2001,78.06168908267783,77.58619553170405,78.7307488505979,,,,,,,,,,,,,,,
2002,78.07076991589838,77.45066172248401,78.68006023411601,,,,,,,,,,,,,,,
2003,77.9072740525465,77.47497117355309,78.4268610384469,,,,,,,,,,,,,,,
2004,78.08040018421366,77.52195037062421,78.73018668954566,,,,,,,,,,,,,,,
2005,78.10619912136637,77.51132822623995,78.83208424902264,,,,,,,,,,,,,,,
2006,77.94350234859206,77.33483006926613,78.78170636774212,,,,,,,,,,,,,,,
2007,77.95049063048835,77.31736291895095,78.64189133143617,,,,,,,,,,,,,,,
2008,77.90386891611244,77.2909123190017,78.51086095555706,,,,,,,,,,,,,,,
2009,78.05878526945912,77.47539434349233,78.71310470624036,,,,,,,,,,,,,,,
2010,78.17330689376752,77.54535090851353,78.9860220653714,,,,,,,,,,,,,,,
2011,78.23630267752029,77.59785839892342,79.00703371678247,,,,,,,,,,,,,,,
2012,78.29238961495851,77.63530621549047,79.04519567131948,,,,,,,,,,,,,,,
2013,78.21539177952792,77.56523402240519,78.9219357267744,,,,,,,,,,,,,,,
2074,,,,79.11484160502698,78.28835666256285,80.36216092130884,80.10704530406701,78.43564044713324,82.40616782951855,81.05020762045598,79.46927379242501,83.81687793858364,82.01762733736692,80.08281294851488,86.40190813989929,84.24795210159249,81.27366982128135,89.15446873516055
2075,,,,79.09925582637571,78.24754550272638,80.32222240543638,79.97111718863802,78.46224657801787,82.4514273133033,81.10845728567297,79.31086228989327,83.66227575312823,82.43172632823239,79.86760901900084,86.44106709749066,84.31946576955352,81.35919655588425,89.73853468554898
2076,,,,79.06568801661152,78.24647865584244,80.29388130169357,79.90324235359651,78.44909050290477,82.21434910138474,80.94543843664123,79.42038679471534,84.12155875513858,82.21821271328142,79.85400087577577,86.33335036134451,84.82048369029181,81.51716657827544,90.47934630308507
2077,,,,79.04787359253623,78.24764090074922,80.30943898212038,79.89353798323239,78.51537461850708,82.09361919815575,81.22523982283921,79.54193691435128,84.29766337732441,82.30471671527373,79.61495834489969,87.71351809653538,84.54776836027946,81.58737693574568,90.15663427897712
2078,,,,79.04935926237428,78.23333964890516,80.27201012510972,80.02533084463565,78.55838736532179,82.4057083820129,81.22587861727348,79.55788092936615,84.10135039701167,82.66893239035446,79.68076791491416,87.53845338900166,84.40872582927966,81.30507859806002,90.64611337409104
2079,,,,79.0332001411189,78.26021164544535,80.27616572342475,79.93992151976573,78.67962500821602,82.6397638233737,81.18916306077051,79.31930902101394,83.89207744416923,82.62202728310685,80.14938139271058,87.96854532317992,85.06073329329172,81.94211725597962,91.11051959251085
2080,,,,79.01583068408445,78.24657696530404,80.21537488164978,79.74116182689474,78.47598010835172,82.06774247279097,81.42945888723679,79.53735239545654,84.35437584012766,82.75675702893787,80.51657333244566,87.54371844965367,85.18066087317862,81.53051289562244,92.08060590082529
2081,,,,78.99936505933482,78.27382771821618,80.28651254027005,79.8100902086068,78.54171982985399,82.54146849218381,81.44994400442572,79.78079205184301,84.4172868256806,82.81679117005388,80.5140187610669,87.90636050387344,85.1731026309818,81.94422141383953,92.83929263644407
2082,,,,79.01486792239822,78.20829809619333,80.2875656191327,80.06202943744131,78.39682130178848,82.74469989372506,81.18508646739753,79.6069063670096,84.53979068322417,82.99454407790815,80.38429150008993,88.437188834398,85.59334846744432,81.83182089051303,92.5557054379151
2083,,,,79.03177569577494,78.24677279019856,80.21237744312154,80.02092468848488,78.52913050238398,82.58947199371265,81.55912689396101,79.85203721506855,84.69078027384259,83.07903029871119,80.46892067247013,88.08432454591872,86.26588711537087,82.14273464221205,92.34454475234429
